ID,title,genre,ID_cp,title_cp,genre_cp
1627,Richard Strauss - Concerto for Horn,Musicals & Performing Arts,1640,I Love Lucy - Season One (Vol. 3),Television
1631,Arabian Nights,Action & Adventure,1632,Dragon Ball Z - Babidi - Battle Royal,Kids & Family
1632,Dragon Ball Z - Babidi - Battle Royal,Kids & Family,1631,Arabian Nights,Action & Adventure
1640,I Love Lucy - Season One (Vol. 3),Television,1627,Richard Strauss - Concerto for Horn,Musicals & Performing Arts
1677,Robert Louis Stevenson's St. Ives,Drama,1678,Just Married,Comedy
1677,Robert Louis Stevenson's St. Ives,Drama,4026,The Score,Action & Adventure
1678,Just Married,Comedy,1677,Robert Louis Stevenson's St. Ives,Drama
1679,The Visitors,Comedy,1677,Robert Louis Stevenson's St. Ives,Drama
4026,The Score,Action & Adventure,1677,Robert Louis Stevenson's St. Ives,Drama
4026,The Score,Action & Adventure,1678,Just Married,Comedy
4740,Fluke/Napoleon,Kids & Family,4741,All Dogs Go to Heaven 2/The Secret of NIMH 2,Kids & Family
4740,Fluke/Napoleon,Kids & Family,9804,Brigham Young,Drama
4741,All Dogs Go to Heaven 2/The Secret of NIMH 2,Kids & Family,4740,Fluke/Napoleon,Kids & Family
4741,All Dogs Go to Heaven 2/The Secret of NIMH 2,Kids & Family,9804,Brigham Young,Drama
8200,A&E Literary Classics - The Romance Collection Megaset (Pride and Prejudice / Emma / Victoria & Albert / Tom Jones / Jane Eyre / Lorna Doone / Ivanhoe / The Scarlet Pimpernel),Drama,8201,Eminem - All Access Europe,Music Video & Concerts
8201,Eminem - All Access Europe,Music Video & Concerts,8200,A&E Literary Classics - The Romance Collection Megaset (Pride and Prejudice / Emma / Victoria & Albert / Tom Jones / Jane Eyre / Lorna Doone / Ivanhoe / The Scarlet Pimpernel),Drama
8333,B.B. King: Live at Nick's,Music Video & Concerts,8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family
8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family,8333,B.B. King: Live at Nick's,Music Video & Concerts
8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family,8336,George Jones: Golden Hits,Music Video & Concerts
8336,George Jones: Golden Hits,Music Video & Concerts,8333,B.B. King: Live at Nick's,Music Video & Concerts
8336,George Jones: Golden Hits,Music Video & Concerts,8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family
9253,"The Honeymooners - The Lost Episodes, Vol. 20",Television,9256,Kelly Clarkson - Before Your Love/A Moment Like This (DVD Single),Music Video & Concerts
9256,Kelly Clarkson - Before Your Love/A Moment Like This (DVD Single),Music Video & Concerts,9253,"The Honeymooners - The Lost Episodes, Vol. 20",Television
9275,"The Speeches Collection, Vol. 1",Documentary,9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense
9275,"The Speeches Collection, Vol. 1",Documentary,9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television
9275,"The Speeches Collection, Vol. 1",Documentary,9279,Dark Shadows DVD Collection 2,Horror
9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense,9275,"The Speeches Collection, Vol. 1",Documentary
9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense,9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television
