community,ID,title,genre,ID_cp,title_cp,genre_cp
0,1627,Richard Strauss - Concerto for Horn,Musicals & Performing Arts,1640,I Love Lucy - Season One (Vol. 3),Television
1,1631,Arabian Nights,Action & Adventure,1632,Dragon Ball Z - Babidi - Battle Royal,Kids & Family
1,1632,Dragon Ball Z - Babidi - Battle Royal,Kids & Family,1631,Arabian Nights,Action & Adventure
0,1640,I Love Lucy - Season One (Vol. 3),Television,1627,Richard Strauss - Concerto for Horn,Musicals & Performing Arts
2,1677,Robert Louis Stevenson's St. Ives,Drama,1678,Just Married,Comedy
2,1677,Robert Louis Stevenson's St. Ives,Drama,4026,The Score,Action & Adventure
2,1678,Just Married,Comedy,1677,Robert Louis Stevenson's St. Ives,Drama
2,1679,The Visitors,Comedy,1677,Robert Louis Stevenson's St. Ives,Drama
2,4026,The Score,Action & Adventure,1677,Robert Louis Stevenson's St. Ives,Drama
2,4026,The Score,Action & Adventure,1678,Just Married,Comedy
3,4740,Fluke/Napoleon,Kids & Family,4741,All Dogs Go to Heaven 2/The Secret of NIMH 2,Kids & Family
3,4740,Fluke/Napoleon,Kids & Family,9804,Brigham Young,Drama
3,4741,All Dogs Go to Heaven 2/The Secret of NIMH 2,Kids & Family,4740,Fluke/Napoleon,Kids & Family
3,4741,All Dogs Go to Heaven 2/The Secret of NIMH 2,Kids & Family,9804,Brigham Young,Drama
4,8200,A&E Literary Classics - The Romance Collection Megaset (Pride and Prejudice / Emma / Victoria & Albert / Tom Jones / Jane Eyre / Lorna Doone / Ivanhoe / The Scarlet Pimpernel),Drama,8201,Eminem - All Access Europe,Music Video & Concerts
4,8201,Eminem - All Access Europe,Music Video & Concerts,8200,A&E Literary Classics - The Romance Collection Megaset (Pride and Prejudice / Emma / Victoria & Albert / Tom Jones / Jane Eyre / Lorna Doone / Ivanhoe / The Scarlet Pimpernel),Drama
5,8333,B.B. King: Live at Nick's,Music Video & Concerts,8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family
5,8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family,8333,B.B. King: Live at Nick's,Music Video & Concerts
5,8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family,8336,George Jones: Golden Hits,Music Video & Concerts
5,8336,George Jones: Golden Hits,Music Video & Concerts,8333,B.B. King: Live at Nick's,Music Video & Concerts
5,8336,George Jones: Golden Hits,Music Video & Concerts,8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family
6,9253,"The Honeymooners - The Lost Episodes, Vol. 20",Television,9256,Kelly Clarkson - Before Your Love/A Moment Like This (DVD Single),Music Video & Concerts
6,9256,Kelly Clarkson - Before Your Love/A Moment Like This (DVD Single),Music Video & Concerts,9253,"The Honeymooners - The Lost Episodes, Vol. 20",Television
7,9275,"The Speeches Collection, Vol. 1",Documentary,9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense
7,9275,"The Speeches Collection, Vol. 1",Documentary,9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television
7,9275,"The Speeches Collection, Vol. 1",Documentary,9279,Dark Shadows DVD Collection 2,Horror
7,9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense,9275,"The Speeches Collection, Vol. 1",Documentary
7,9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense,9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television
7,9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense,9279,Dark Shadows DVD Collection 2,Horror
7,9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television,9275,"The Speeches Collection, Vol. 1",Documentary
7,9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television,9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense
7,9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television,9279,Dark Shadows DVD Collection 2,Horror
7,9279,Dark Shadows DVD Collection 2,Horror,9275,"The Speeches Collection, Vol. 1",Documentary
7,9279,Dark Shadows DVD Collection 2,Horror,9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense
7,9279,Dark Shadows DVD Collection 2,Horror,9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television
3,9804,Brigham Young,Drama,4740,Fluke/Napoleon,Kids & Family
8,10443,Yukmouth Presents: United Ghettos of America,Music Video & Concerts,18824,10 Things I Hate About You,Comedy
8,10443,Yukmouth Presents: United Ghettos of America,Music Video & Concerts,18825,Cinderella (Wide World of Disney),Kids & Family
9,11427,The Shipment,Comedy,11428,Psychomania,Horror
9,11427,The Shipment,Comedy,11429,Derailed,Action & Adventure
9,11427,The Shipment,Comedy,11430,Wishmaster 4: The Prophecy Fulfilled,Horror
9,11428,Psychomania,Horror,11427,The Shipment,Comedy
9,11428,Psychomania,Horror,11429,Derailed,Action & Adventure
9,11428,Psychomania,Horror,11430,Wishmaster 4: The Prophecy Fulfilled,Horror
9,11429,Derailed,Action & Adventure,11427,The Shipment,Comedy
9,11429,Derailed,Action & Adventure,11428,Psychomania,Horror
9,11429,Derailed,Action & Adventure,11430,Wishmaster 4: The Prophecy Fulfilled,Horror
9,11430,Wishmaster 4: The Prophecy Fulfilled,Horror,11427,The Shipment,Comedy
9,11430,Wishmaster 4: The Prophecy Fulfilled,Horror,11428,Psychomania,Horror
9,11430,Wishmaster 4: The Prophecy Fulfilled,Horror,11429,Derailed,Action & Adventure
10,12064,Fred Hammond & Radical For Christ - Live,Music Video & Concerts,176,"Avengers '67 - Set 1, Vols. 1 & 2",Television
11,12511,Keeping the Faith/While You Were Sleeping,Comedy,12512,Rodgers & Hammerstein's South Pacific,Musicals & Performing Arts
11,12511,Keeping the Faith/While You Were Sleeping,Comedy,12514,Enemy of the State/Crimson Tide,Action & Adventure
11,12511,Keeping the Faith/While You Were Sleeping,Comedy,12515,Queen's Competition,Music Video & Concerts
11,12512,Rodgers & Hammerstein's South Pacific,Musicals & Performing Arts,12511,Keeping the Faith/While You Were Sleeping,Comedy
