Community,nNode,nGenre,BestNode_ID,BN_Title,BN_Degree,Members
56,13,6,261584,"Hollywood Screen Tests, Take 1",11,"261582,261583,261584,261587,261588,261590,261593,261594,261595,261598,261599,261605,261606"
73,6,6,114191,Listen to Britain and Other Films by Humphrey Jennings,8,"114187,114189,114190,114191,143564,182209"
13,6,5,12617,Burial Ground - Night of Terror,4,"12615,12617,12618,15740,81590,236161"
12,6,3,240155,Cinema Europe - The Other Hollywood,5,"10080,12610,234557,234558,234559,240155"
57,5,5,150648,Don't Leave Me Alone Daisy Collection,6,"94311,150648,150649,182969,182970"
106,5,5,170823,The Magic Show with Doug Henning,6,"79136,170821,170822,170823,193277"
147,5,4,247061,Why Do They Say Love When They Mean Sex?,4,"241596,245283,247059,247060,247061"
58,5,3,95719,Not of This Earth,6,"95718,95719,95720,95721,95722"
66,5,3,109198,Jack the Ripper,7,"109198,109199,109200,109202,177282"
81,5,3,132754,The Blue Angel,7,"132753,132754,132755,132756,132757"
104,5,3,167608,Crimes of Passion,8,"167605,167606,167607,167608,167609"
161,5,3,261352,Taps,8,"261351,261352,261361,261371,261372"
7,4,4,9279,Dark Shadows DVD Collection 2,6,"9275,9276,9277,9279"
11,4,4,12512,Rodgers & Hammerstein's South Pacific,6,"12511,12512,12514,12515"
19,4,4,27739,Trick Or Treat,4,"20178,20180,20181,27739"
30,4,4,48094,The Rose,3,"48094,82797,106110,123122"
52,4,4,86113,The Navigator,5,"84416,86113,86114,86115"
61,4,4,103734,The Men Who Killed Kennedy,5,"103732,103733,103734,103735"
76,4,4,117845,Blood Surf,5,"117841,117842,117843,117845"
109,4,4,172383,The Twilight Zone - Vol. 24,6,"172383,174124,174126,174127"
151,4,4,247126,WWE Hardcore,6,"247057,247058,247125,247126"
154,4,4,252232,Snare Drum Basics-DVD,6,"252232,252233,252235,254647"
2,4,3,1677,Robert Louis Stevenson's St. Ives,5,"1677,1678,1679,4026"
9,4,3,11430,Wishmaster 4: The Prophecy Fulfilled,6,"11427,11428,11429,11430"
25,4,3,34281,"The Adam Sandler Collection (Billy Madison, Bulletproof, & Happy Gilmore)",5,"34279,34281,58754,58755"
26,4,3,34843,El Tri - Sinfonico,6,"34841,34842,34843,34845"
35,4,3,58967,The Lost Command,5,"58967,58968,58969,58970"
70,4,3,134129,The Golem,5,"112864,134126,134127,134129"
74,4,3,114377,Super Atragon: The Motion Picture,6,"114376,114377,114378,114379"
77,4,3,151158,"Chaplin's Essanay Comedies, Vol. 02",5,"118133,151157,151158,195792"
