Genre,Qty,InDeg,OutDeg,TotalDeg,SelfDeg,CrossOut,SelfRate,CrossOutRate
Drama,73,149,140,289,23,117,0.164286,0.835714
Comedy,69,127,119,246,15,104,0.12605,0.87395
Music Video & Concerts,46,81,84,165,25,59,0.297619,0.702381
Action & Adventure,39,70,73,143,18,55,0.246575,0.753425
Mystery & Suspense,35,64,65,129,10,55,0.153846,0.846154
Horror,36,60,67,127,6,61,0.089552,0.910448
Kids & Family,40,65,61,126,23,38,0.377049,0.622951
Documentary,23,48,46,94,6,40,0.130435,0.869565
Television,24,43,48,91,10,38,0.208333,0.791667
Science Fiction & Fantasy,23,40,44,84,5,39,0.113636,0.886364
Classics,18,45,37,82,7,30,0.189189,0.810811
Animation,18,35,41,76,8,33,0.195122,0.804878
Sports,20,34,34,68,7,27,0.205882,0.794118
Musicals & Performing Arts,19,30,30,60,0,30,0.0,1.0
Adult,6,11,10,21,2,8,0.2,0.8
Military & War,4,6,7,13,0,7,0.0,1.0
Art & International,3,4,6,10,0,6,0.0,1.0
General,4,5,5,10,0,5,0.0,1.0
Religion & Spirituality,2,3,3,6,0,3,0.0,1.0
Travel,1,2,2,4,0,2,0.0,1.0
