ID,Title,Genre,InDeg,OutDeg,TotalDeg,Community,K-Core,BT,CL,EV,PR
1627,Richard Strauss - Concerto for Horn,Musicals & Performing Arts,1,1,2,0,1,0.0,0.00199203187250996,5.280043361505726e-153,0.0021802228660202996
1640,I Love Lucy - Season One (Vol. 3),Television,1,1,2,0,1,0.0,0.00199203187250996,5.280043361505726e-153,0.0021802228660202996
1631,Arabian Nights,Action & Adventure,1,1,2,1,1,0.0,0.00199203187250996,5.280043361505726e-153,0.0021802228660202996
1632,Dragon Ball Z - Babidi - Battle Royal,Kids & Family,1,1,2,1,1,0.0,0.00199203187250996,5.280043361505726e-153,0.0021802228660202996
1677,Robert Louis Stevenson's St. Ives,Drama,3,2,5,2,2,1.1928334565927905e-05,0.00597609561752988,4.6352268080422646e-97,0.003743084981264031
1678,Just Married,Comedy,2,1,3,2,2,0.0,0.00448207171314741,4.6352268080422646e-97,0.0027329284681310885
4026,The Score,Action & Adventure,1,2,3,2,2,0.0,0.003585657370517928,2.864727712934804e-97,0.001917844550015327
1679,The Visitors,Comedy,0,1,1,2,1,0.0,0.0,1.3530989511557592e-296,0.00032703346467075566
4740,Fluke/Napoleon,Kids & Family,2,2,4,3,2,3.976111521975968e-06,0.00398406374501992,3.7499772604885375e-97,0.0028304647656396784
4741,All Dogs Go to Heaven 2/The Secret of NIMH 2,Kids & Family,1,2,3,3,2,0.0,0.0026560424966799467,2.3176134040211344e-97,0.0015299809664009222
9804,Brigham Young,Drama,2,1,3,3,2,0.0,0.00398406374501992,3.7499772604885375e-97,0.0021802228660203
8200,A&E Literary Classics - The Romance Collection Megaset (Pride and Prejudice / Emma / Victoria & Albert / Tom Jones / Jane Eyre / Lorna Doone / Ivanhoe / The Scarlet Pimpernel),Drama,1,1,2,4,1,0.0,0.00199203187250996,5.280043361505726e-153,0.0021802228660202996
8201,Eminem - All Access Europe,Music Video & Concerts,1,1,2,4,1,0.0,0.00199203187250996,5.280043361505726e-153,0.0021802228660202996
8333,B.B. King: Live at Nick's,Music Video & Concerts,2,1,3,5,2,0.0,0.00398406374501992,3.7499772604885303e-97,0.0021802228660203
8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family,2,2,4,5,2,3.976111521975968e-06,0.00398406374501992,3.7499772604885303e-97,0.0028304647656396784
8336,George Jones: Golden Hits,Music Video & Concerts,1,2,3,5,2,0.0,0.0026560424966799467,2.3176134040211297e-97,0.0015299809664009222
9253,"The Honeymooners - The Lost Episodes, Vol. 20",Television,1,1,2,6,1,0.0,0.00199203187250996,5.280043361505726e-153,0.0021802228660202996
9256,Kelly Clarkson - Before Your Love/A Moment Like This (DVD Single),Music Video & Concerts,1,1,2,6,1,0.0,0.00199203187250996,5.280043361505726e-153,0.0021802228660202996
9275,"The Speeches Collection, Vol. 1",Documentary,3,3,6,7,3,0.0,0.00597609561752988,2.06037096367326e-09,0.0021802228660202996
9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense,3,3,6,7,3,0.0,0.00597609561752988,2.06037096367326e-09,0.0021802228660202996
9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television,3,3,6,7,3,0.0,0.00597609561752988,2.06037096367326e-09,0.0021802228660202996
9279,Dark Shadows DVD Collection 2,Horror,3,3,6,7,3,0.0,0.00597609561752988,2.06037096367326e-09,0.0021802228660202996
10443,Yukmouth Presents: United Ghettos of America,Music Video & Concerts,2,2,4,8,2,0.0,0.00398406374501992,5.225983794653719e-69,0.0021802228660202996
18824,10 Things I Hate About You,Comedy,2,2,4,8,2,0.0,0.00398406374501992,5.225983794653719e-69,0.0021802228660202996
18825,Cinderella (Wide World of Disney),Kids & Family,2,2,4,8,2,0.0,0.00398406374501992,5.225983794653719e-69,0.0021802228660202996
11427,The Shipment,Comedy,3,3,6,9,3,0.0,0.00597609561752988,2.06037096367326e-09,0.0021802228660202996
11428,Psychomania,Horror,3,3,6,9,3,0.0,0.00597609561752988,2.06037096367326e-09,0.0021802228660202996
11429,Derailed,Action & Adventure,3,3,6,9,3,0.0,0.00597609561752988,2.06037096367326e-09,0.0021802228660202996
11430,Wishmaster 4: The Prophecy Fulfilled,Horror,3,3,6,9,3,0.0,0.00597609561752988,2.06037096367326e-09,0.0021802228660202996
12064,Fred Hammond & Radical For Christ - Live,Music Video & Concerts,0,1,1,10,1,0.0,0.0,1.3530989511557592e-296,0.00032703346467075566
176,"Avengers '67 - Set 1, Vols. 1 & 2",Television,1,0,1,-1,1,0.0,0.00199203187250996,6.467812986524523e-294,0.0006050119142322923
