ID,Title,Genre,Community,Core,PageRank,InDegree,OutDegree,TotalDegree
1627,Richard Strauss - Concerto for Horn,Musicals & Performing Arts,0,1,0.0021802228660202996,1,1,2
1640,I Love Lucy - Season One (Vol. 3),Television,0,1,0.0021802228660202996,1,1,2
1631,Arabian Nights,Action & Adventure,1,1,0.0021802228660202996,1,1,2
1632,Dragon Ball Z - Babidi - Battle Royal,Kids & Family,1,1,0.0021802228660202996,1,1,2
1677,Robert Louis Stevenson's St. Ives,Drama,2,2,0.003743084981264031,3,2,5
1678,Just Married,Comedy,2,2,0.0027329284681310885,2,1,3
4026,The Score,Action & Adventure,2,2,0.001917844550015327,1,2,3
1679,The Visitors,Comedy,2,1,0.00032703346467075566,0,1,1
4740,Fluke/Napoleon,Kids & Family,3,2,0.0028304647656396784,2,2,4
4741,All Dogs Go to Heaven 2/The Secret of NIMH 2,Kids & Family,3,2,0.0015299809664009222,1,2,3
9804,Brigham Young,Drama,3,2,0.0021802228660203,2,1,3
8200,A&E Literary Classics - The Romance Collection Megaset (Pride and Prejudice / Emma / Victoria & Albert / Tom Jones / Jane Eyre / Lorna Doone / Ivanhoe / The Scarlet Pimpernel),Drama,4,1,0.0021802228660202996,1,1,2
8201,Eminem - All Access Europe,Music Video & Concerts,4,1,0.0021802228660202996,1,1,2
8333,B.B. King: Live at Nick's,Music Video & Concerts,5,2,0.0021802228660203,2,1,3
8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,Kids & Family,5,2,0.0028304647656396784,2,2,4
8336,George Jones: Golden Hits,Music Video & Concerts,5,2,0.0015299809664009222,1,2,3
9253,"The Honeymooners - The Lost Episodes, Vol. 20",Television,6,1,0.0021802228660202996,1,1,2
9256,Kelly Clarkson - Before Your Love/A Moment Like This (DVD Single),Music Video & Concerts,6,1,0.0021802228660202996,1,1,2
9275,"The Speeches Collection, Vol. 1",Documentary,7,3,0.0021802228660202996,3,3,6
9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense,7,3,0.0021802228660202996,3,3,6
9277,"The Honeymooners - The Lost Episodes, Boxed Set 5",Television,7,3,0.0021802228660202996,3,3,6
