ID,Title,Genre,Core,OutDegree,InDegree,TotalDegree
167608,Crimes of Passion,Mystery & Suspense,3,4,4,8
261352,Taps,Drama,3,4,4,8
114191,Listen to Britain and Other Films by Humphrey Jennings,Documentary,3,3,5,8
109198,Jack the Ripper,Mystery & Suspense,3,3,4,7
132754,The Blue Angel,Drama,3,3,4,7
143564,Jeremiah Johnson,Classics,3,3,4,7
167606,Tender Mercies,Drama,3,3,4,7
261351,The Princess and the Barrio Boy,Drama,3,3,4,7
9275,"The Speeches Collection, Vol. 1",Documentary,3,3,3,6
9276,The Adventures of Sherlock Holmes (Boxed Set Collection),Mystery & Suspense,3,3,3,6
